Latitude,Longitude,Weather,Light_Condition,Road_Surface,Road_Function,Speed_Limit(MPH),Day,Month,Hour,Number_of_Vehicles,Intersection,Fatalities
37.62363889,-120.5641528,"Fog, Smog, Smoke",Dark - Not Lighted,Dry,Major Collector,50.0,1,January,3:00am-3:59am,1,Not an Intersection,2
40.65091389,-122.6025417,Rain,Dark - Not Lighted,Wet,Other Principal Arterial,55.0,14,February,10:00pm-10:59pm,1,Not an Intersection,2
34.38016111,-117.603825,Clear,Daylight,Dry,Minor Arterial,55.0,19,January,10:00am-10:59am,2,T-Intersection,1
34.08941944,-115.0941389,Clear,Daylight,Dry,Minor Arterial,65.0,17,February,11:00am-11:59am,1,Not an Intersection,1
35.38346111,-119.1762194,Cloudy,Dark - Not Lighted,Wet,Other Principal Arterial,55.0,23,January,6:00am-6:59am,1,Not an Intersection,1
37.47793333,-121.9338889,Rain,Dark - Not Lighted,Wet,Interstate,65.0,16,January,Unknown Hours,1,Not an Intersection,1
35.75634444,-119.2407667,Rain,Dark - Lighted,Wet,Minor Arterial,40.0,3,February,8:00pm-8:59pm,2,T-Intersection,1
35.50205278,-119.5376944,Clear,Dark - Lighted,Dry,Interstate,70.0,12,February,3:00am-3:59am,2,Not an Intersection,1
39.46019167,-121.5520611,Clear,Dark - Not Lighted,Dry,Local,55.0,24,February,3:00am-3:59am,1,Not an Intersection,1
34.02131667,-118.1952278,Cloudy,Dark - Lighted,Dry,Interstate,55.0,25,February,2:00am-2:59am,1,Not an Intersection,3
38.61760278,-121.3624944,Rain,Dark - Lighted,Wet,Other Principal Arterial,40.0,31,January,8:00pm-8:59pm,1,Not an Intersection,1
35.24603889,-118.914525,Cloudy,Dark - Not Lighted,Dry,Other Principal Arterial,45.0,3,February,7:00pm-7:59pm,1,Not an Intersection,1
37.44873611,-120.6967028,Rain,Dark - Not Lighted,Wet,Major Collector,55.0,17,January,1:00am-1:59am,1,Not an Intersection,1
35.40621111,-118.8618611,Cloudy,Daylight,Dry,Other Principal Arterial,65.0,4,February,4:00pm-4:59pm,1,Reported as Unknown,1
